,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
MMM,19.43,93.02B,17.17,2.20,3.00,7.10,11.55,16.01%,22.92%,13.64%,32.24%,31.12B,48.80,-5.50%,15.37B,8.51B,7.66,2.60%,3.48B,5.58,8.52B,64.87,2.64,21.02,6.31B,4.40B,1.25,5.91%,170.50,130.60,154.12,160.88,"2,262,480","1,909,310",624.74M,0.03%,70.00%,8.80M,3.90,2.70%,3.76
ABT,16.84,74.60B,20.71,2.41,3.65,3.42,16.60,22.04%,14.96%,N/A,N/A,20.50B,13.62,12.20%,11.03B,4.52B,2.98,67.90%,9.85B,6.62,8.90B,40.49,N/A,14.69,N/A,N/A,1.24,19.17%,51.74,39.28,50.06,47.78,"4,988,730","4,412,460",1.49B,0.20%,68.80%,14.71M,2.90,1.90%,0.94
ABBV,53.36,109.32B,13.67,0.94,5.26,80.14,15.61,9.93%,32.03%,N/A,N/A,20.99B,13.10,11.10%,15.53B,7.42B,1.29,24.40%,7.92B,4.97,15.33B,"1,113.44",N/A,0.86,N/A,N/A,1.56,28.72%,71.60,52.06,69.45,64.00,"9,494,670","7,190,080",1.59B,0.08%,39.90%,53.31M,6.10,3.00%,1.93
ACN,22.11,64.75B,19.91,2.34,2.08,10.89,12.06,9.75%,14.50%,16.34%,51.47%,30.94B,49.23,0.40%,9.68B,4.90B,4.69,-2.90%,4.03B,6.46,27.22M,0.42,1.40,9.47,4.24B,3.86B,1.08,31.38%,105.33,73.98,100.22,94.39,"2,146,050","2,025,900",624.14M,0.32%,83.30%,12.98M,4.80,2.00%,2.04
ACE,12.36,35.56B,11.69,1.23,1.84,1.21,10.23,15.29%,19.21%,2.36%,9.90%,19.38B,58.75,4.70%,5.93B,3.84B,8.89,20.90%,2.85B,8.81,7.65B,25.88,0.40,91.27,N/A,N/A,1.20,9.39%,117.89,99.55,105.63,109.08,"2,253,360","2,289,090",323.70M,0.65%,92.30%,6.63M,2.10,2.50%,1.30
ADBE,114.85,41.15B,25.68,1.06,9.40,6.20,42.14,8.40%,13.72%,3.46%,5.51%,4.35B,8.72,8.80%,3.52B,920.56M,0.72,66.60%,3.41B,6.86,1.90B,28.81,2.16,13.27,1.32B,1.14B,1.27,19.89%,84.36,58.51,81.52,77.69,"2,754,920","2,078,560",497.64M,5.31%,86.60%,5.97M,1.50,N/A,N/A
ADT,19.09,5.68B,15.88,2.80,1.64,1.91,5.91,8.66%,20.55%,4.34%,9.92%,3.51B,20.17,6.30%,1.95B,1.80B,1.74,7.90%,63.00M,0.37,5.27B,175.17,0.62,17.57,1.52B,223.00M,1.07,-8.72%,42.88,30.45,33.50,37.14,"2,064,200","2,123,250",171.30M,0.26%,111.50%,41.38M,18.20,2.70%,0.83
AAP,25.93,12.71B,18.39,1.66,1.27,5.88,10.93,4.99%,9.90%,7.64%,25.92%,9.91B,135.80,2.30%,4.45B,1.26B,6.70,0.30%,123.82M,1.69,1.61B,75.02,1.29,29.36,730.07M,623.14M,0.95,38.72%,177.22,122.68,167.14,156.19,"1,068,300","608,600",73.18M,0.61%,95.80%,5.18M,3.70,0.10%,0.24
AES,9.36,8.63B,9.58,4.33,0.52,2.20,6.76,5.75%,16.74%,4.47%,18.18%,16.87B,23.59,-6.50%,3.09B,4.06B,1.35,N/A,1.92B,2.73,20.40B,289.99,1.16,5.72,2.08B,-907.12M,0.95,-13.19%,15.21,11.53,13.10,12.96,"6,038,560","4,181,810",682.44M,8.43%,86.50%,11.82M,2.20,3.10%,0.35
AET,19.26,40.57B,14.18,1.48,0.69,2.70,8.74,3.64%,7.30%,5.01%,14.60%,59.10B,167.68,7.90%,15.09B,4.95B,6.04,16.80%,4.16B,11.92,9.01B,59.58,0.80,43.11,3.42B,3.28B,0.34,53.49%,134.40,71.81,117.85,109.13,"3,533,550","3,004,260",348.60M,0.41%,91.60%,4.75M,0.90,0.90%,0.98
