,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
FLWS,18.70,628.47M,21.89,1.06,0.59,2.90,7.77,3.19%,6.28%,10.96%,16.42%,1.08B,16.79,29.30%,315.67M,94.69M,0.52,N/A,52.72M,0.81,135.63M,61.66,1.33,3.34,155.93M,52.82M,2.24,85.55%,13.46,4.96,10.27,10.47,"400,291","242,838",28.48M,26.41%,63.00%,3.80M,8.50,N/A,N/A
PIH,N/A,49.85M,N/A,N/A,2.40,1.04,-0.30,-0.38%,27.66%,6.17%,-0.21%,21.19M,3.66,53.40%,10.82M,5.90M,-0.01,N/A,53.83M,8.47,2.31M,4.72,2.43,7.70,9.34M,26.04M,N/A,-8.94%,8.71,7.07,8.01,7.72,"17,191","21,963",6.36M,13.55%,1.80%,1.29K,0.10,N/A,N/A
SRCE,12.63,809.81M,13.44,2.07,3.40,1.30,N/A,24.45%,37.67%,1.19%,9.64%,241.65M,10.14,9.80%,N/A,N/A,2.45,7.80%,77.91M,2.97,378.44M,N/A,N/A,24.10,N/A,N/A,1.42,4.21%,35.61,28.00,33.91,32.37,"39,870","49,850",26.20M,34.87%,65.80%,236.93K,5.50,2.10%,0.72
TWOU,N/A,1.58B,N/A,-3.10,11.18,15.47,-50.36,-23.13%,-22.77%,-22.92%,-63.86%,118.52M,2.93,31.40%,83.38M,-25.98M,-0.68,N/A,83.08M,2.01,0.00,N/A,3.06,2.07,-15.45M,-16.87M,N/A,127.77%,39.59,14.67,32.06,25.57,"302,570","372,550",41.34M,13.59%,35.40%,3.12M,9.50,N/A,N/A
DDD,N/A,1.50B,19.45,1.48,2.28,1.20,24.34,-0.96%,-0.11%,-0.03%,-0.55%,666.62M,6.06,8.80%,317.43M,60.01M,-0.06,N/A,199.90M,1.79,9.14M,0.71,3.19,11.35,49.87M,51.81M,1.77,-72.70%,54.24,11.66,16.56,24.24,"2,861,250","5,757,060",111.80M,5.29%,50.70%,36.36M,14.30,0.60%,N/A
MMM,19.43,93.02B,17.17,2.20,3.00,7.10,11.55,16.01%,22.92%,13.64%,32.24%,31.12B,48.80,-5.50%,15.37B,8.51B,7.66,2.60%,3.48B,5.58,8.52B,64.87,2.64,21.02,6.31B,4.40B,1.25,5.91%,170.50,130.60,154.12,160.88,"2,262,480","1,909,310",624.74M,0.03%,70.00%,8.80M,3.90,2.70%,3.76
EGHT,806.00,710.67M,38.38,3.17,4.12,2.57,68.74,0.84%,1.43%,0.50%,0.52%,172.39M,1.94,26.30%,116.85M,8.45M,0.01,N/A,156.97M,1.78,0.00,N/A,6.78,3.13,21.25M,11.16M,0.51,-1.47%,9.51,5.69,8.66,8.42,"676,288","643,400",88.17M,1.43%,69.00%,3.85M,5.90,N/A,N/A
AHC,1.19,112.23M,N/A,N/A,0.41,0.91,3.69,35.54%,-3.08%,-2.06%,62.49%,273.83M,12.53,1.60%,118.04M,5.57M,4.33,N/A,81.44M,3.75,0.00,N/A,3.01,5.72,-38.00M,-1.82M,2.14,-54.05%,13.34,4.43,5.35,7.09,"114,628","83,100",19.36M,4.32%,71.00%,216.84K,1.30,6.80%,2.57
ATEN,N/A,426.40M,N/A,-0.72,2.21,4.66,-6.66,-24.39%,-24.64%,-14.60%,-43.79%,177.78M,2.94,-3.80%,136.57M,-33.43M,-0.72,N/A,85.57M,1.45,0.00,N/A,2.39,1.43,-33.06M,-24.77M,N/A,-35.69%,12.08,3.90,6.09,5.26,"582,344","938,275",61.62M,18.25%,29.60%,1.87M,3.50,N/A,N/A
AAC,41.23,388.10M,14.69,1.22,3.24,4.32,42.43,6.85%,11.47%,N/A,12.54%,135.11M,7.40,52.20%,132.97M,20.42M,0.43,166.80%,59.19M,2.71,76.72M,78.12,5.61,4.64,4.76M,N/A,1.73,N/A,46.60,15.09,39.07,34.28,"453,691","1,973,020",21.84M,N/A,N/A,2.89M,14.30,N/A,N/A
